52.7685,-65.8959,-134.768,-0.243364,-0.23154,-0.684537
112.258,0.752219,12.4871,0.513296,-0.0732059,-0.453325
118.569,-68.2043,-70.1381,0.553052,0.407255,0.0432636
112.268,0.755755,12.4821,0.513125,-0.0728007,-0.453317
3.35586,18.3001,20.9134,0.428198,-0.0112426,0.727926
112.266,0.755228,12.483,0.513156,-0.0728915,-0.453317
48.4489,176.266,93.8818,-0.501586,0.628809,0.185407
112.264,0.75496,12.4834,0.513173,-0.0729578,-0.453319
17.3446,-121.43,-31.134,0.407999,0.595087,0.282055
112.266,0.755524,12.4825,0.51314,-0.0728575,-0.453317
58.9202,-114.253,-134.365,-0.100061,0.58975,0.0462994
112.266,0.758486,12.4782,0.513032,-0.0727678,-0.453344
99.4195,-9.66082,9.38804,-0.166449,0.0560739,-0.0996715
112.266,0.755489,12.4827,0.513148,-0.0728859,-0.453318
116.187,-170.393,-9.24057,-0.766881,-1.18535,-0.242417
112.275,0.761309,12.4762,0.512976,-0.0724396,-0.453335
44.9152,-18.5525,-12.2534,0.334784,0.523003,-0.96291
112.271,0.755922,12.4817,0.513102,-0.0726906,-0.453317
14.1023,-121.222,-163.337,-0.184056,0.161514,0.495286
112.266,0.755495,12.4826,0.513147,-0.0728838,-0.453318
